iter	Passed	Remaining
0	91	91407
1	92	45992
2	92	30809
3	93	23236
4	94	18745
5	94	15712
6	95	13527
7	96	11913
8	96	10640
9	97	9661
10	98	8891
11	100	8255
12	101	7699
13	102	7207
14	103	6788
15	104	6425
16	105	6114
17	106	5836
18	108	5589
19	109	5353
20	110	5134
21	111	4937
22	112	4760
23	113	4600
24	113	4443
25	114	4298
26	115	4161
27	116	4038
28	117	3924
29	118	3815
30	118	3716
31	119	3619
32	120	3527
33	120	3437
34	121	3352
35	122	3283
36	123	3211
37	124	3139
38	124	3073
39	125	3008
40	125	2945
41	126	2884
42	126	2825
43	127	2769
44	127	2714
45	128	2662
46	128	2612
47	129	2565
48	129	2521
49	130	2477
50	131	2441
51	131	2401
52	132	2362
53	132	2324
54	133	2288
55	133	2252
56	134	2218
57	134	2186
58	135	2155
59	135	2124
60	136	2094
61	136	2070
62	137	2044
63	138	2019
64	138	1992
65	139	1967
66	139	1942
67	139	1918
68	140	1895
69	140	1873
70	141	1850
71	141	1829
72	142	1807
73	142	1787
74	143	1770
75	144	1751
76	144	1732
77	145	1714
78	145	1696
79	145	1678
80	146	1661
81	146	1644
82	147	1625
83	147	1610
84	148	1595
85	148	1580
86	149	1568
87	150	1554
88	150	1542
89	151	1528
90	151	1515
91	152	1501
92	152	1489
93	153	1475
94	153	1463
95	154	1450
96	154	1438
97	155	1426
98	155	1415
99	156	1405
100	156	1394
101	157	1383
102	157	1372
103	158	1362
104	158	1352
105	159	1342
106	159	1332
107	160	1323
108	160	1313
109	161	1303
110	161	1295
111	162	1287
112	162	1278
113	163	1269
114	163	1260
115	164	1252
116	164	1242
117	165	1234
118	165	1227
119	166	1219
120	166	1211
121	167	1203
122	167	1197
123	168	1190
124	168	1182
125	169	1175
126	169	1167
127	170	1160
128	170	1153
129	171	1146
130	171	1139
131	172	1132
132	172	1126
133	173	1119
134	173	1113
135	174	1107
136	174	1101
137	175	1095
138	175	1089
139	176	1083
140	176	1077
141	177	1070
142	177	1064
143	178	1059
144	178	1053
145	179	1048
146	179	1042
147	180	1037
148	180	1032
149	181	1027
150	181	1022
151	182	1017
152	182	1011
153	183	1006
154	183	1001
155	184	997
156	184	992
157	185	987
158	185	983
159	186	978
160	186	973
161	187	969
162	187	964
163	188	960
164	189	956
165	189	952
166	189	947
167	190	943
168	190	938
169	191	934
170	191	930
171	192	926
172	192	922
173	193	919
174	194	915
175	194	911
176	195	907
177	195	903
178	196	899
179	196	895
180	196	891
181	197	887
182	197	883
183	198	879
184	198	876
185	199	873
186	200	869
187	200	866
188	201	863
189	201	859
190	202	856
191	202	852
192	203	849
193	203	846
